	alanine_232	alanine_260	glycine_246	glycine_218	valine_288	valine_260	leucine_274	leucine_200	isoleucine_274	isoleucine_200	serine_390	serine_362	serine_302	serine_288	threonine_404	threonine_376	methionine_320	methionine_218	phenylalanine_234	phenylalanine_302	phenylalanine_308	phenylalanine_336	aspartate_418	aspartate_390	aspartate_302	glutamate_432	glutamate_330	asparagine_417	lysine_431	lysine_329	glutamine_431	arginine_442	tyrosine_302	tyrosine_466	histidine_440	tryptophan_302	glucose_273	lactate_233	lactate_261
US-M0	0.7569466931877458	0.7470276644771601	0.7552810173687029	0.7653096340479576	0.7307905393372777	0.7404939716006383	0.732402204534955	0.8139151437164234	0.732402204534955	0.8139151437164234	0.6433090505941447	0.6518509041908103	0.7228048067791308	0.7243988604635919	0.6362792742714535	0.6447277865415664	0.6942510123704138	0.7817621122730092	0.7882483126438129	0.7228048067791308	0.7097955038170608	0.7004943442448376	0.634879129438468	0.6433090505941447	0.7228048067791308	0.6279414712976795	0.7070941809784177	0.6340106777700778	0.6215978874390177	0.6999509814319077	0.627082509657403	0.6195241184554321	0.7228048067791308	0.6028203835479271	0.6196666335860657	0.7228048067791308	0.7958648224630386	0.7579835394769808	0.7480509239336578
US-M1	0.16408884816782196	0.17030283830981574	0.1638417387864875	0.15744832125021752	0.1827454630893719	0.17688090147229293	0.18303796596387684	0.14360272526964524	0.18303796596387684	0.14360272526964524	0.22235140250376068	0.21800523405552108	0.1887324319300875	0.18903934599790082	0.22694983660375082	0.2227444812183693	0.17908911897993288	0.1354664742843007	0.1644693310929496	0.1887324319300875	0.19976600153979035	0.2049914608162588	0.22654623185506167	0.22235140250376068	0.1887324319300875	0.23100672952183324	0.20025098935314664	0.2284095248017766	0.23757591355867747	0.20825308868521372	0.23284017340696822	0.238857824231141	0.1887324319300875	0.2477539997198078	0.2387702312910593	0.1887324319300875	0.18268724583080745	0.16171548787362408	0.167972035608567
US-M2	0.06761559467501754	0.07008094560888761	0.06904357311711323	0.06662157939414767	0.07233098166611517	0.06978615652619707	0.07095783136836933	0.03833373797848419	0.07095783136836933	0.03833373797848419	0.10386038992053559	0.10145628329563836	0.07353889450173696	0.07218394893550183	0.10515624486517848	0.10273094819238532	0.101143621477814	0.07138359905992328	0.041876234452333336	0.07353889450173696	0.07458838596888479	0.07726077821339677	0.10626365983929281	0.10386038992053559	0.07353889450173696	0.10757906086435834	0.07610904827286921	0.10559032107434776	0.1072359233718839	0.07532867435056427	0.10693343445012826	0.10767030494544794	0.07353889450173696	0.11201647799669268	0.10764014172168748	0.07353889450173696	0.019989860997591775	0.06871222289102927	0.07113908514510417
US-M3	0.009582769516431375	0.010554398366016118	0.009907957788064078	0.008952362872196088	0.011860735407074465	0.010856174453862864	0.011500398386158992	0.0039292365718354445	0.011500398386158992	0.0039292365718354445	0.023850681691205515	0.02256801425066245	0.012521798826821542	0.012150398383490912	0.02472528305091326	0.02343035625189486	0.01957686318051491	0.009446414786932407	0.005050095136102528	0.012521798826821542	0.01337118399330426	0.014441684728012789	0.025151750894096582	0.023850681691205515	0.012521798826821542	0.026038401011119754	0.0138623926207994	0.02501200248375184	0.02633367636294027	0.013953996295728863	0.025892828053439433	0.02660342657005404	0.012521798826821542	0.029097677676441943	0.02658478317535007	0.012521798826821542	0.0013869644957199144	0.009697584514601666	0.010675026261073386
US-M4	0.0016161427220901308	0.0018418567854941118	0.0017525925085473855	0.0015349460241003642	0.002038634339075852	0.0017965214595117441	0.0018956668569136148	0.00021274371750852557	0.0018956668569136148	0.00021274371750852557	0.005593351083325112	0.005201177864204752	0.0021461152185565033	0.0020007699197204945	0.005793056492852734	0.005391149600398979	0.005099724858485013	0.0017767964791101831	0.0003415493760622223	0.0021461152185565033	0.0022108189666806203	0.0024855543230198527	0.005999539447058246	0.005593351083325112	0.0021461152185565033	0.006209026417182097	0.002379228325481703	0.005860524666637428	0.006076456542742504	0.0022423158395676653	0.006070002300288643	0.006143942184985575	0.0021461152185565033	0.006881218411973341	0.006139238908239345	0.0021461152185565033	6.847114103325201e-05	0.0017241882774016342	0.0019519316425292144
US-M5	0.00014263481976362936	0.00017958059309500674	0.00016218114746011667	0.000127233647869794	0.00021679747671588613	0.00017565590172323957	0.00019339037350809461	7.240828219071497e-06	0.00019339037350809461	7.240828219071497e-06	0.0008942982173858083	0.0007992118163664136	0.0002367299541101795	0.00021201581385982702	0.0009456924182600974	0.0008473573901467182	0.0007253286152238255	0.00015775582735518974	1.500151974606062e-05	0.0002367299541101795	0.0002489908041084174	0.00029896552406304653	0.000995131376444441	0.0008942982173858083	0.0002367299541101795	0.0010498645682708004	0.0002795247292171815	0.0009629674989803179	0.0010191872308598056	0.00025283547051394115	0.0010165330729049508	0.0010360351448560298	0.0002367299541101795	0.0012230293420562696	0.0010348609350352687	0.0002367299541101795	2.558154642693138e-06	0.00015659530261944327	0.00019480940760154342
US-M6	8.872348838610478e-06	1.3826602565483508e-05	1.218356434913986e-05	7.561140767384998e-06	1.7636474445637354e-05	1.1963359210993938e-05	1.3756124920999804e-05	1.690442560370419e-07	1.3756124920999804e-05	1.690442560370419e-07	0.00012816236381552046	0.00010970418617078858	1.9817319968107684e-05	1.5723295520331556e-05	0.00013654596097869935	0.00011724969133554083	0.00010502259120944837	7.611796967770852e-06	4.64914134400618e-07	1.9817319968107684e-05	1.984172237153411e-05	2.711901884290617e-05	0.00014825444654558199	0.00012816236381552046	1.9817319968107684e-05	0.00015752109947056155	2.476996495636395e-05	0.00013942891300410763	0.0001456590529183333	1.905919292445214e-05	0.0001484402712279853	0.0001485672927413245	1.9817319968107684e-05	0.0001848227661257199	0.00014836334251357652	1.9817319968107684e-05	7.5106179506203e-08	1.1667479682790745e-05	1.6961449607426745e-05
US-M7	4.28627237083008e-07	8.463520959463037e-07	7.207202597085157e-07	3.4952586631000937e-07	1.1491805618535503e-06	6.288643808963972e-07	7.531275621209941e-07	2.8381425585720126e-09	7.531275621209941e-07	2.8381425585720126e-09	1.4256999856262923e-05	1.145671377099881e-05	1.329838863630543e-06	8.956627983468332e-07	1.5503599713562512e-05	1.25320219966654e-05	1.0437887852528314e-05	2.3067013517830827e-07	1.0675183433953316e-08	1.329838863630543e-06	1.21220053977187e-06	1.970041813698735e-06	1.7426382964493758e-05	1.4256999856262923e-05	1.329838863630543e-06	1.8858105852436864e-05	1.758743217987214e-06	1.5934833783907894e-05	1.664949695478404e-05	1.0081533899715256e-06	1.7286356614847038e-05	1.7078858612202934e-05	1.329838863630543e-06	2.2845879885203606e-05	1.7048646244767304e-05	1.329838863630543e-06	1.7760336715234021e-09	6.816104881424948e-07	1.1576457725333412e-06
US-M8	1.551849037054067e-08	4.1209908229255476e-08	3.367381071499097e-08	1.1810236016659699e-08	6.033271783765287e-08	2.5554550039731726e-08	3.217529789846309e-08	3.515839696573088e-11	3.217529789846309e-08	3.515839696573088e-11	1.3005489486762025e-06	9.458839020739537e-07	7.227194766360355e-08	4.0085716531009965e-08	1.4424128054309984e-06	1.0609844239880222e-06	8.154851000992595e-07	4.752060081175473e-09	1.870995874356448e-10	7.227194766360355e-08	5.865771681344227e-08	1.1706639331072577e-07	1.7211045936871688e-06	1.3005489486762025e-06	7.227194766360355e-08	1.8930482109888683e-06	1.0191585539980224e-07	1.4924971045347943e-06	1.5244714244106395e-06	3.93731062618949e-08	1.6506217466179385e-06	1.5747780079013507e-06	7.227194766360355e-08	2.3291833194043937e-06	1.5712166671506468e-06	7.227194766360355e-08	3.439381684268772e-11	3.135989888816931e-08	6.562547414879717e-08
US-M9	4.0957847668290384e-10	1.6413313072853001e-09	1.2857081418970931e-09	2.8277534203505296e-10	2.602169499172193e-09	7.897917765293295e-10	1.0619034717030641e-09	3.251855078366871e-13	1.0619034717030641e-09	3.251855078366871e-13	9.928796931714243e-08	6.398659126557436e-08	3.2357176417874553e-09	1.4036813297492935e-09	1.1244684942791789e-07	7.364956407119534e-08	5.176473028677187e-08	6.946453607745879e-11	2.548310100280491e-12	3.2357176417874553e-09	2.259489301413213e-09	5.776623271895247e-09	1.441412114377919e-07	9.928796931714243e-08	3.2357176417874553e-09	1.6141239212740517e-07	4.8935924001801366e-09	1.17182963019735e-07	1.148315129003875e-07	1.1796798155904205e-09	1.322474909228911e-07	1.1951636496600904e-07	3.2357176417874553e-09	1.9985185250173205e-07	1.1918221155537162e-07	3.2357176417874553e-09	5.516304992641864e-13	1.1783647279835155e-09	3.15049618908894e-09
US-M10	7.873179350549926e-12	5.323336774239457e-11	3.9535561059859264e-11	4.807108213258504e-12	9.271412477249398e-11	1.8505136324026313e-11	2.6994743022007353e-11	2.2492234383818014e-15	2.6994743022007353e-11	2.2492234383818014e-15	6.41810338257175e-09	3.584564955407562e-09	1.2027923952005365e-10	3.83808097288102e-11	7.4359149328411066e-09	4.246792913466403e-09	2.6717351978779073e-09	7.361599747370287e-13	2.723529520020436e-14	1.2027923952005365e-10	6.931948704882208e-11	2.3916811352039995e-10	1.0386739098394562e-08	6.41810338257175e-09	1.2027923952005365e-10	1.1852248099666943e-08	1.9664532291867805e-10	7.809777255420092e-09	7.239486770753457e-09	2.7866086641240414e-11	9.008360068526844e-09	7.596759846725565e-09	1.2027923952005365e-10	1.4645407772855247e-08	7.571071557427687e-09	1.2027923952005365e-10	7.381142934121077e-15	3.547302945607455e-11	1.2670759095225612e-10
US-M11	1.1110473794896838e-13	1.369362131572466e-12	9.445705407029764e-13	5.852516511742914e-14	2.6962251384232104e-12	3.3057709607135706e-13	5.310916858566387e-13	1.1551970736610218e-17	5.310916858566387e-13	1.1551970736610218e-17	3.5613159099208997e-10	1.6794605424041377e-10	3.686114485939871e-12	8.22838628611033e-13	4.22603869497629e-10	2.0543080173369868e-10	1.1384897353211397e-10	5.695364028851177e-15	2.2917088621927946e-16	3.686114485939871e-12	1.699556809975232e-12	8.321496778593717e-12	6.52678156909979e-10	3.5613159099208997e-10	3.686114485939871e-12	7.59378484077863e-10	6.611367400528037e-12	4.4756619993935274e-10	3.8628344509027e-10	5.290439295628769e-13	5.282877295844782e-10	4.090193057215656e-10	3.686114485939871e-12	9.276578998884841e-10	4.0737027310879535e-10	3.686114485939871e-12	8.273997080046534e-17	8.214908425147796e-13	4.285171501286471e-12
US-M12	1.1578388585445504e-15	2.7353802162470537e-14	1.712345184836782e-14	5.121126708772428e-16	6.305681530575566e-14	4.534435986008074e-15	8.142347551954913e-15	4.340525219761907e-20	8.142347551954913e-15	4.340525219761907e-20	1.708154457216208e-11	6.62471068051622e-12	9.205388456721091e-14	1.3922505984763627e-14	2.0801532849718548e-11	8.396014907438893e-12	4.020475965909638e-12	3.2016642917696797e-17	1.5148777946716878e-18	9.205388456721091e-14	3.3485099875324986e-14	2.4225447640247257e-13	3.601324670071645e-11	1.708154457216208e-11	9.205388456721091e-14	4.2775968918137605e-11	1.8483609763545925e-13	2.223125192956173e-11	1.7587854974702087e-11	8.181513657832917e-15	2.6897339757293758e-11	1.8809762612966692e-11	9.205388456721091e-14	5.125723868081128e-11	1.8720283515306816e-11	9.205388456721091e-14	7.781591247057966e-19	1.4259496911767015e-14	1.2108333237831715e-13
US-M13	8.908948157954866e-18	4.2006381840920353e-16	2.3319518982999367e-16	3.2036386327168437e-18	1.1751367944702815e-15	4.7974103147676726e-17	9.780921410818298e-17	1.168542128286518e-22	9.780921410818298e-17	1.168542128286518e-22	7.098683065793817e-13	2.1962788556157308e-13	1.8578774840354036e-15	1.8701360641054276e-16	8.896098712275354e-13	2.900191769229249e-13	1.161788744525264e-13	1.2882620455126433e-19	7.807873430132478e-21	1.8578774840354036e-15	5.331148682549666e-16	5.870382069902807e-15	1.753803259889797e-12	7.098683065793817e-13	1.8578774840354036e-15	2.129701186629225e-12	4.271468562898111e-15	9.604396043709852e-13	6.86268989083564e-13	1.0399935299847167e-16	1.1939302531133245e-12	7.422187483713214e-13	1.8578774840354036e-15	2.4853388023909596e-12	7.380779390073286e-13	1.8578774840354036e-15	6.13410514629112e-21	1.8333730198171563e-16	2.7859792440580146e-15
US-M14	5.02295314186176e-20	4.937977268298632e-18	2.3737532825368963e-18	1.4108639047887574e-20	1.738239836107159e-17	3.91643291851666e-19	9.227472389952045e-19	2.208471395827862e-25	9.227472389952045e-19	2.208471395827862e-25	2.5572116721875702e-14	6.0787222318647e-15	3.01872538251433e-17	2.0014523390645304e-18	3.309033162651363e-14	8.428154880022447e-15	2.705241454896161e-15	3.6232706449910766e-22	3.0977040021690005e-23	3.01872538251433e-17	6.887353448008653e-18	1.180138732723852e-16	7.560469965783379e-14	2.5572116721875702e-14	3.01872538251433e-17	9.40281010560349e-14	8.132143907757445e-17	3.613602862103414e-14	2.2959844261939863e-14	1.0927814099833737e-18	4.628906284351379e-14	2.515274522399491e-14	3.01872538251433e-17	1.061165571161771e-13	2.498850627040442e-14	3.01872538251433e-17	4.03887368538409e-23	1.731990200384555e-18	5.073172645519711e-17
IS-M0	0.0	0.0010766666666666667	0.005673	0.012617999999999999	0.00016166666666666668	0.0012573333333333334	0.00035633333333333334	0.0007563333333333334	0.00032633333333333326	0.00024	0.00033066666666666666	0.00062	0.0020840000000000003	0.0005636666666666667	0.0	0.0	0.010482333333333335	0.007137999999999999	0.000843	0.0010533333333333334	0.023049666666666666	0.0	0.000471	0.0006906666666666667	0.0010366666666666666	0.0002576666666666667	0.0003426666666666667	0.00022233333333333336	0.0	0.0	0.0002326666666666667	0.0	0.002108333333333333	0.0	0.0	0.0004976666666666667	0.0	0.4948613333333333	0.49241833333333335
IS-M1	0.0	0.0014523333333333333	0.002947	0.0	0.0	0.0007356666666666667	0.000377	0.00022633333333333335	0.000561	0.000179	0.0016543333333333332	0.0004886666666666667	0.00019800000000000002	0.004523666666666666	0.0	0.0	0.0034523333333333333	0.0038083333333333337	0.0005643333333333334	0.0	0.004326666666666667	0.0	0.0003913333333333334	0.001313	0.0007126666666666667	0.0002986666666666667	0.000443	0.00053	0.0	0.041761	0.00045433333333333334	0.0	0.006575666666666667	0.0	0.0	0.0	0.0	0.105698	0.11132366666666667
IS-M2	0.0	0.010041000000000001	0.0	0.7636856666666668	0.00199	0.00095	0.000386	0.00039266666666666665	0.00025333333333333333	0.00040533333333333334	0.0002686666666666667	0.0	0.040712000000000005	0.0	0.0	0.004898666666666667	0.001566	0.005641333333333334	0.0	0.0	0.0009153333333333334	0.0	0.00039333333333333337	0.000916	0.0	0.00043199999999999993	0.0006433333333333334	0.0002486666666666667	0.0	0.0	0.0009623333333333333	0.0	0.0	0.0	0.0	0.0	0.018963333333333332	0.05256866666666667	0.045024666666666664
