 	is01	is02	is03	predicted
Retention Indices				
lactate_233	1484.8	1484	0	
lactate_261	1484.8	1484	0	
alanine_232	1525.2	1524.3	1525.1	
alanine_260	1525.2	1524.3	1525.1	
glycine_246	1567.3	1566.7	1567.3	
glycine_218	1567.3	1566.7	1567.3	
HPA_261	1586	1585.6	1586.2	
valine_288	1632	1631.8	1632.2	
valine_260	1632	1631.8	1632.2	
leucine_274	1664.8	1664.6	1665	
leucine_200	1664.8	1664.6	1665	
isoleucine_274	1701	1700.8	1701.2	
isoleucine_200	1701	1700.8	1701.2	
serine_390	1937.3	1937.3	1937.3	
serine_362	1937.3	1937.3	1937.3	
serine_302	1937.3	1937.3	1937.3	
serine_288	1937.3	1937.3	1937.3	
threonine_404	1956.6	1956.6	1956.8	
threonine_376	1956.6	1956.6	1956.8	
methionine_320	1993.7	1993.5	1993.7	
methionine_218	1993.7	1993.5	1993.7	
phenylalanine_234	2119.9	2119.7	2119.9	
phenylalanine_302	2119.9	2119.7	2119.9	
phenylalanine_308	2119.9	2119.7	2119.9	
phenylalanine_336	2119.9	2119.7	2119.9	
aspartate_418	2134.2	2134	2134.2	
aspartate_390	2134.2	2134	2134.2	
aspartate_302	2134.2	2134	2134.2	
glutamate_432	2251.7	2251.5	2251.7	
glutamate_330	2251.7	2251.5	2251.7	
asparagine_417	2316.4	2316.1	2316.1	
lysine_431	2324.9	2324.7	2324.9	
lysine_329	2324.9	2324.7	2324.9	
glutamine_431	2441.1	2440.6	2440.6	
arginine_442	2479.6	2479.6	2479.6	
tyrosine_302	2630	2629.4	2629.7	
tyrosine_466	2630	2629.4	2629.7	
histidine_440	2652.8	2652.5	2652.8	
tryptophan_302	2863.4	2863.4	2863.4	
glucose_344	2652.8	2652.5	2652.5	
glucose_273	0	0	0	
				
Peak Areas (ion counts * seconds)				
lactate_233	562268	449066	0	
lactate_261	832452	641945	0	
alanine_232	11017919	7770524	8138261	
alanine_260	10595535	7242952	7537120	
glycine_246	9451319	5642703	5063354	
glycine_218	10563152	6483435	5893062	
HPA_261	11970959	9194086	10458519	
valine_288	8583179	6578256	7364924	
valine_260	10012930	7939441	8663499	
leucine_274	11881129	9129341	10085540	
leucine_200	28991027	24047030	25172564	
isoleucine_274	10721132	8265385	9130164	
isoleucine_200	26702249	21211549	23394636	
serine_390	14615241	11050694	12012292	
serine_362	14202563	10954913	11842646	
serine_302	9730810	7602662	8179470	
serine_288	16809306	13108117	14204907	
threonine_404	813881	773550	1298306	
threonine_376	734411	671740	1017423	
methionine_320	11358992	8542425	9560298	
methionine_218	15785643	12414590	13672975	
phenylalanine_234	14439249	11347464	12637830	
phenylalanine_302	19046301	14711673	16313851	
phenylalanine_308	9542118	7390829	8221981	
phenylalanine_336	9114123	6978608	7755569	
aspartate_418	10117670	7888396	8580559	
aspartate_390	5823820	4582723	4961030	
aspartate_302	15421198	12239687	13364293	
glutamate_432	15297617	11789567	12715480	
glutamate_330	11933278	9427196	10177219	
asparagine_417	12293851	8719147	9677712	
lysine_431	221548	109400	128748	
lysine_329	368881	191282	220676	
glutamine_431	9415740	6507475	7050129	
arginine_442	2530527	1827999	2011329	
tyrosine_302	24732450	19811244	22162703	
tyrosine_466	4869260	3840728	4291393	
histidine_440	4540321	2505881	3084425	
tryptophan_302	24837012	19475632	22296361	
glucose_344	3528841	2007823	2425515	
glucose_273	0	0	0	
				
MIDs				
lactate_233 M0	0.742905	0.741679	0	0.757984
lactate_233 M1	0.158084	0.15901	0	0.161715
lactate_233 M2	0.078177	0.079529	0	0.068712
